"newspaper_edition_date","headline"
2021-09-23,"US to donate an additional 500m Covid vaccines to poorer countries, says Biden"
NA,"UK parents: share your thoughts on Covid vaccines for children"
NA,"Qantas mandates full Covid-19 vaccination for all its employees"
NA,"NSW Covid restrictions: reopening rules for Sydney, regional NSW, freedoms for vaccinated people – explained"
2021-11-11,"Human trials of vaccine for multiple species of Ebola to begin soon"
NA,"President of Brazil says it ‘makes no sense’ for him to be vaccinated"
NA,"Northern Territory Covid outbreak grows amid snap lockdown as Australia passes 80% vaccination target"
NA,"Australia, send us your Covid vaccine selfie "
2021-10-27,"Pregnant women are being turned away from UK Covid vaccine clinics, experts warn"
2021-07-07,"Crackdown on ‘vaccine sommeliers’ as Covid pandemic grips Brazil"
2021-11-15,"LA has imposed one of the US’s strictest vaccine mandates. Will it prevent a Covid surge?"
2021-12-09,"Three doses of Pfizer vaccine likely to protect against Omicron infection, tests suggest"
NA,"Labour demands ‘Christmas vaccine guarantee’ for pupils in England"
2021-08-27,"BBC presenter Lisa Shaw died of Covid vaccine complications, coroner finds"
2021-09-19,"UK teachers targeted by Covid anti-vaxxers as schools prepare to vaccinate pupils"
2021-08-27,"Blood clot risk greater after Covid infection than after vaccination"
NA,"NHS planning Covid vaccines for children from age 12, reports say"
NA,"Tennessee radio host who criticised vaccine efforts dies of Covid-19"
NA,"Nadhim Zahawi: patients could get Covid jab each year with flu vaccine"
NA,"Australian health experts worried as rural Covid vaccination rates lag metro areas"
NA,"Victoria Covid update: vaccine passports trialled as Pfizer offered to all age groups"
2021-09-13,"Tory MPs fear return of Covid vaccine passports plan in England"
NA,"People in Austria, Germany and Switzerland: share your views on compulsory vaccines"
NA,"India’s Covid vaccine rollout hit by hesitancy and supply snags"
2021-08-24,"Iranian government urged to accept western vaccines amid deadly Covid wave"
NA,"Johnson squandered boost from Covid vaccinations, says Starmer"
NA,"NSW Covid update: Brad Hazzard contradicts police chief on enforcement of vaccine rules"
NA,"Johnson rejects Gove remark that Covid vaccine refusers are ‘selfish’"
2021-06-18,"The Guardian view on Covid vaccines: persuading the public"
NA,"Three in five Australian GPs say vaccine rollout changes among biggest Covid challenges"
2021-08-31,"Covid booster jabs ‘not a luxury’ and protect the vulnerable, says WHO"
2021-06-29,"Indonesian Covid deaths add to questions over Sinovac vaccine"
2021-08-10,"Covid vaccine hesitancy halves among young people in Great Britain"
NA,"‘A Covid incubator’: outbreak in Melbourne refugee detention hotel grows as vaccination rate lags"
NA,"Explainer: how do I get a Covid digital certificate to prove my vaccination status?"
2021-09-02,"Monopolies on Covid vaccines are killing people in poorer countries"
NA,"Victoria Covid update: more than 40 police stood down for refusing coronavirus vaccine"
2021-10-12,"French study of over 22m people finds vaccines cut severe Covid risk by 90%"
2021-07-10,"Vaccines working as expected in preventing Covid deaths, say experts"
NA,"Queensland reopening plan caught in catch-22 as Covid vaccination rate lags national average by 10% "
2021-09-07,"UK vaccine advisers ‘acted like medical regulators’ over Covid jabs for children"
NA,"Covid vaccine booster shots: why are third jabs needed and who in Australia is eligible?"
NA,"UK winter holidaymakers urged to get vaccinated and book with reputable travel firms "
NA,"Victoria Covid vaccine mandate: unions welcome move as protesters clash with police in Melbourne"
NA,"Covid vaccination status can be faked in minutes in Service Victoria app, developers warn"
NA,"Morrison government is paying PR firm $2.9m to promote Covid vaccine rollout"
NA,"Australia plans to shelve AstraZeneca Covid vaccine by October"
NA,"Biden hails announcement as FDA gives full approval to Pfizer’s Covid vaccine"
NA,"We are hosting Christmas, but two family members refuse to be Covid vaccinated. What do we do?"
2021-09-05,"Covid vaccines for care home staff: why ‘no jab, no job’ is controversial"
NA,"West Virginia battles Covid surge after failing to build on early vaccine success"
2021-08-02,"Pressure grows for recall of parliament over domestic Covid vaccine passports"
2021-11-14,"Migrants refusing vaccines for fear of being deported, charity warns"
2021-10-06,"Americans are desperate to visit Hawaii – but apparently not enough to get vaccinated"
NA,"What is the Moderna vaccine? And will it boost Australia’s Covid vaccination program?"
NA,"First Thing: Biden faces vaccine mandate pushback from own party"
NA,"Aaron Rodgers received ‘deep and wide’ support after vaccine controversy"
2021-08-13,"Tax on billionaires’ Covid windfall could vaccinate every adult on Earth"
NA,"‘More cautious’ China shifts Africa approach from debt to vaccine diplomacy "
NA,"Republicans threaten government shutdown to undermine vaccine mandates"
NA,"Australian GPs offered bribes for fake Covid vaccine certificates while others abused by anti-vaxxers"
NA,"Covid live news: UK weekly cases down 13%; US sending more vaccines to Taiwan"
NA,"How to live with Covid? Vaccinate, open gradually and keep some public health measures"
NA,"‘Provisional approval’: Australian children aged five to 11 set to receive Pfizer Covid vaccine from mid-January"
2021-07-14,"France reports rush for vaccines after Macron tightens Covid rules"
NA,"New vaccine campaigns target rural Americans to address disparities"
NA,"No jab, no job: David Walsh mandates Covid vaccination for all Mona staff"
NA,"UK’s Covid vaccine donations alongside move to block waiver ‘shameful’"
2021-09-15,"UK Covid vaccinations for children aged 12-15: what you need to know"
2021-11-02,"‘We are protected by prayers’: the sects hampering southern Africa’s vaccine rollout"
NA,"UK children aged 16 and 17 expected to be offered Covid vaccine"
NA,"Conservative judges block Biden’s vaccine requirement for businesses"
2021-07-25,"Fears for Covid vaccine drive if second doses clash with boosters"
2021-08-16,"Gordon Brown hits out at EU’s ‘neocolonial approach’ to Covid vaccine supplies"
NA,"Senior doctors urge secondary school pupils to get vaccinated"
2021-11-30,"The life and tragic death of John Eyers – a fitness fanatic who refused the vaccine"
NA,"Mississippi governor claims vaccine mandate is ‘attack on hardworking Americans’"
2021-09-10,"Biden announces new US vaccine mandates to ‘turn the tide of Covid-19’"
NA,"Novavax Covid vaccine has efficacy of 90%, say manufacturers"
NA,"Covid vaccination rates for Indigenous Australians behind in every state except Victoria"
2021-06-28,"Delta Covid variant may be edging race against vaccines"
NA,"Northern Territory chief minister and US senator Ted Cruz in Twitter spat over Covid vaccines"
NA,"Victoria Covid update: Moderna vaccine headed for pharmacies as construction protest turns violent"
NA," Covid hospitalizations rise across US as hospitals say patients aren’t vaccinated"
NA,"Three Vermont state troopers accused of creating fake Covid-19 vaccination cards"
NA,"Covid vaccine mandates: can you be required in Australia to get the jab?"
NA,"Research into non-injectable Covid vaccines brings hope for needle-phobics"
NA,"Austria is showing that vaccine mandates are no longer unthinkable"
NA,"Republican governors urge vaccine-hesitant residents to get Covid shots"
2021-12-01,"Moderna boss predicts current vaccines may be less effective against Omicron"
NA,"Sydney man with leukaemia denied Covid vaccine booster shot his specialist recommended"
NA,"Scramble to lift Indigenous vaccination rates as Covid spreads in western NSW"
2021-07-30,"Federal workers must be vaccinated or submit to Covid testing and distancing"
NA,"Granit Xhaka decided against vaccine before positive Covid test, says Swiss FA"
2021-05-28,"Taiwan accuses China of interfering with Covid vaccine deals"
NA,"Biden announces US will donate another 500m vaccine doses at Covid summit – as it happened"
NA,"Victoria Covid update: vaccination to be compulsory for teachers as state records 628 new cases"
2021-09-14,"How will the Covid vaccine rollout to 12-to-15-year-olds in UK work?"
NA,"New Doherty modelling advises ‘medium’ Covid restrictions until Australia reaches 80% vaccination"
2021-09-16,"Nicki Minaj claim that Covid vaccine can cause impotence dismissed by Trinidad and Tobago"
2021-11-18," US to boost vaccine manufacturing and produce at least a billion doses a year"
2021-07-03,"Ryanair passenger numbers soar as Covid vaccine restores travel confidence"
2021-11-08,"I’ve had a wake-up call on Covid vaccines for children – mine will be first in line"
NA,"Pfizer vaccine approved for children in Australia, but when can they be vaccinated?"
NA,"New Zealand Covid update: Auckland to remain in lockdown even as fully vaccinated hit 70%"
NA,"Victoria and NSW record 10 deaths and Australia reaches 80% vaccination target – as it happened"
